review,rating,predicted_type_final,Fraud
"This camp storage box is a solid choice for scout camping, as it handily contains all the essentials for both weekend trips and longer summer camps. While its generous size provides ample storage and even doubles as a camp seat, its lack of wheels and a handle become noticeable when hauling it long distances, especially from parking areas to campsites. Adding those features would truly make it the perfect, all-in-one camping companion.",4,1,1
"I remember when the album with this tune dropped. I recall this tune did well on the Billboards. It's not a slow song but it does go pretty slow, making it a well put together tune.",1,1,0
"This product was a complete disappointment. It arrived damaged with a hole, indicating poor quality from the start. Even worse, it wouldn't stay inflated, leaving my two-year-old heartbroken. I would not recommend this product to anyone.",1,0,1
"Since I haven't had the chance to actually use this product, I can't comment on its performance, effectiveness, or overall quality. Therefore, I'm unable to provide a useful review at this time. Check back later when I've had the opportunity to try it out.",5,0,1
Good value. 09/01/17 Cancelled my subscription. Magazine has gotten to be more advertizing than articles. Used to love this magazine but I have been going thru when it first arrives and tear out all of the prescription medication and other advertizine pages. Just nothing left in the magazine at all. Even though it was a good value at $5.00 for 1 year I didn't want to renew.,2,0,0
"<div id=""video-block-RRAWGNQ63QA0Y"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value="" class=""video-url""><input type=""hidden"" name="""" value="" class=""video-slate-img-url"">Great little gift set. It has all the necessities in one sweet package. I have added a box-opening video review.",5,1,0
"This album is a mixed bag for me. While I appreciate the band's energy, I'm frustrated by the repetitive tracklist, finding several songs duplicated from their previous releases. However, the real saving grace is their collection of rocking carols, which are surprisingly catchy and far more enjoyable than their standard fare. If you're looking for a fresh perspective on Christmas classics with a hard-rock edge, this is worthwhile; otherwise, you might be better off picking and choosing specific tracks.",3,0,1
"Battery does extend the life of my Samsung S5, but not by as much as I would have hoped. Normal battery lasts about 5 hours, while this battery lasts about 7 hours with normal use. Battery and case is very bulky and adds a lot more weight than one would imagine Update: Customer service was helpful and sent me out a new battery and it works quite a bit better. With light use I can now go up to 2 full days without a charge.",4,0,0
"I am using this mount for a 27"" LCD in my bedroom. Using a swivel mount with tilt works great for almost any room layout. The black powder-coat paint matches the TV, and looks great. Adjustment and locking is easy with the included hex wrench. I would rate this ""5 stars"" if the mounting screws were better. Made from relatively soft steel, the screw head strips very easily. After ruining one screw, I replaced it with a large black deck screw. It might be advisable to drill small pilot holes before attempting to drive the screws. Word of caution: If you do not drive the proper mounting screws into the center of a wall stud, if you exceed the specified TV weight limit, or if you try to get by with a really cheap swing arm mount, you may be signing a death sentence for your $500 TV (and perhaps yourself)!",4,1,0
"These inserts offered a brief respite from plantar fasciitis pain, providing relief for about three days. Unfortunately, after that short period, the excruciating pain returned with its full intensity. While these were recommended by my podiatrist, the temporary nature of the relief makes them a questionable long-term solution for plantar fasciitis sufferers.",2,1,1
So soft.,1,1,0
"Having tried McAfee, Norton, Trend Micro, and Zone Alarm, I've found Zone Alarm to be a viable option, especially considering the cost. While McAfee and Norton have become expensive with lacking customer support, Zone Alarm offers a more budget-friendly alternative. Like the other big names, understanding the initial setup is crucial for optimal performance, but unlike them it doesn't punish you for it.",4,1,1
"This product suffers from a serious lack of magnetic strength. The provided magnets are insufficient for holding even lightweight items, forcing me to resort to a DIY fix involving printing clip art and attaching my own magnets. While functional after my modifications, the out-of-the-box experience is disappointing and necessitates extra effort and expense to achieve the advertised purpose.",2,0,1
"3.5 stars. The plot was intriguing and kept me reading (Crichton is obviously a great writer), but I wish there hadn't been so much language (much use of the f word and several others). If you don't mind that, then it's worth a read. I was happy to see there was plenty of suspense without a lot of gore, and no sexual scenes. This guy is at the top of his game for a reason!",3,1,0
The costume & arm covers are great. The wig is a really cheap yarn which I didn't realize till I got it. For the price it's not bad though. Had to order another wig to wear on Halloween.,3,1,0
Wouldn't inflate. Returned.,1,1,0
"This product is a game-changer for pet owners! From the high-quality ingredients in the food to the durable and engaging toys, everything is clearly designed with your pet's well-being in mind. My dog absolutely devours the food, and the interactive toys have kept him entertained for hours. I've noticed a significant improvement in his coat and energy levels since switching to this brand. Highly recommend for anyone looking to provide their furry friend with the best possible care.",1,1,1
"This fan is fine but a little small, it turns out so I now have the 20inch and it is doing a great job. The return of this went like clock work. It is great to work with a professional and user friendly company like Amazon. They even emailed me a return label which even took care of the billing. I took it in to FEDX and away it went, with updates along the way and an arrival notice. As Elvis would say ""now that is DOING business!!"" Thanks",3,1,0
"Unlike the other Narnia books it seems the children can't take two steps without requiring divine intervention. time and again one of the characters ties to do something completely crazy such as willingly casting a spell which will destroy Narnia (for personal gain) untill Aslan appears in some form to change their minds. I enjoyed all of the other books in the series (would rate them as a 4 - 5), with the exception of the Last battle which having peeked ahead i decided not to finish, as to me it would have been a most depressing end to a great series.",1,1,0
"I've mentioned in my other Munchkin reviews how awesome Munchkin is. It is. Great game. Can't say enough about how much fun the overall game is. Awesome. I can't, unfortunately, repeat that word for Munchkin 6: Demented Dungeons. You won't hear me repeat the word again in this review. This Munchkin expansion introduces two new card types to the game: Dungeons and Portals. Dungeons are cards that are played in a separate stack from the normal two stacks in a typical Munchkin game (the Door stack and the Treasure stack). A Dungeon card represents the dungeon the characters are playing in. There is a Dungeon in play at all times, and each dungeon adds a new rule or new law by which the characters must abide while that dungeon is still in play. Portal cards get dealt into the Door stack, and they're used to change out the dungeon that is currently in play and replace it with a new one. Some Portal cards have their own rules, so that two or three dungeon cards can conceivably be in play at the same time. All this sounds great, and it is in theory. The problem is that there aren't many Portal cards, and when you have a lot of expansion decks in play, that makes for a lot of Door cards. When you have to shuffle the Portal cards into the Door deck, they get diluted significantly in a bigger deck. A big part of the fun with the Dungeon element is to regularly change out the Dungeon (and some of the rules for specific dungeons are less fun than others to live with, so you WANT those changed out quickly). A big deck of cards means you may only encounter a new Portal every once in a while (or occasionally not at all). This leaves you with two options. 1) Deal the Portal cards into the whole big Door deck and hope for the best, knowing that you may not see a Portal card again for most of the game and may get stuck with a Dungeon you don't much care for. 2) After you shuffle the whole big deck of Door cards, shuffle the Portal cards into just the top [insert your favorite fraction here] part of the Door cards. Top half, top third, maybe? This way the Portal cards are mixed in relatively close to the top and are sure to be drawn often throughout the game. The problem with this is that, if you want to continue to do this, you have to go through the deck after every game and pull out all the Portal cards so that they can be shuffled into the top portion of the deck for the next game. Otherwise, they'll be all mixed in after the first time you do this. Option 1 is not much fun when you have 500+ Door cards diluting the handful of Portal cards. Option 2 is a royal pain to deal with before and after every game (but it's great during the game.) If you're working with a smaller deck (my condolences), this may not be such a big deal. After playing with these cards a few times, though, we just leave them in the box now. Not really worth it. In the immortal words of Dennis Miller, though, that's just my opinion; I could be wrong. Munchkin 6 is still good, just not quite as aweso--",3,1,0
"Good movie, good song!",5,1,0
"This gadget is a game-changer! From its sleek design to its intuitive interface, it's clear this product was built with the user in mind. Performance is top-notch, exceeding expectations in every test, and the robust feature set offers incredible versatility. Battery life is impressive, and the overall build quality suggests this is a durable and reliable device that will last for years to come. Highly recommended for anyone seeking a premium electronics experience.",1,1,1
"first thing first: it works. the kit is great in what it consists of and the price is just right i think. to call someone to clean my dryer vents i got quoted from 80 all the way up to 200 bucks. so if you were able to do it yourself you will need to invest a bit more in a ""construction"" vacuum that cost about 80-100 bucks and start the savings basically from the second time you do it. so whats with the 3*? my brush broke inside my vent!!!! while i was pulling it out, and yes i was using a drill, all the pieces came out except the round brush. i had to climb to my attic and push it from the other side to come out... what was supposed to be an easy task ended up with me spending over an hour extra in climbing in my attic, disassembling the HVAC pipe so that i can get in there and push down on the brush... another minus for this kit is that while it is fairly bendy, it will not go very smoothly through your flexible insulated pipes and most likely push the pipe out from its connector. with all that said, if your vent duct doesnt have to many bends, and you want to take the risk (maybe i had a defective kit that the brush broke), you might save a lot of money doing it yourself!",3,1,0
"While the core product functions adequately, I was disappointed by the lack of a comprehensive timing booklet, a feature I greatly valued in the previous model. Its absence makes the product less user-friendly and efficient, forcing me to seek out timing information elsewhere, which disrupts my workflow and diminishes the overall experience.",4,1,1
"I cannot get this thing to work with my Wii Rockband 3. It might be related to the USB hub that I'm using, but it simply refuses to be detected by the game. Cosmetically, it's a microphone. Bit on the ugly side. I would be wary of compatibility issues with this one.",1,0,0
"This first installment in the series is a wonderful story that immediately captivated me. The Kindle purchase provided instant access, leading to a completely satisfying reading experience.",5,1,1
"This product is a winner! Despite an initial hiccup with a flawed first delivery that was promptly resolved, the replacement piece exceeded expectations. The quality and value are undeniable, so much so that I couldn't resist displaying it prominently on my fireplace mantle. Highly recommended!",5,1,1
"right price, who cares about the colour, for those days when the electronic book is buggered!!!!!!!! old school back up!",3,1,0
"While the production might offer some entertainment value, historical accuracy seems to be a major casualty. The casting choices are particularly jarring, with Daniels' portrayal of Washington feeling geographically and culturally amiss, reminiscent of a Disney caricature rather than a Virginian leader. Furthermore, the questionable decision to cast Welsh and English actors as Scottish and American figures, respectively, complete with their native accents, further undermines the film's credibility and distracts from any potential narrative strengths. These inaccuracies significantly detract from the overall viewing experience.",1,1,1
"These light bulbs do exactly what they're supposed to do: they plug in and light up. There's really not much more to say beyond that. They're functional and seem to work as expected, so if you need a basic bulb, these will likely suffice. Don't expect anything fancy, just reliable illumination.",3,0,1
"Not as in depth as required for a beginner diesel owner of a 6.7L Cummins Turbo. Great for maintenance but will not be your only reference if you are trying to replace ball joints, replace crappy oem interior parts (power seat and window motors), Ccv and erg issues.",2,1,0
Cute and comfy. Sleek design. My only complaint is the fly wire loosens up and my shoe sometimes slips off my heels during heavy sled runs. I have two pairs of this style.,4,1,0
"This gadget is a game-changer! From its sleek design to its intuitive interface, every aspect feels premium. Performance is lightning-fast, exceeding expectations for everyday tasks and even demanding applications. The battery life is exceptional, easily lasting a full day on a single charge. While the price point is a bit higher than competitors, the quality and features offered make it a worthwhile investment for anyone seeking top-tier performance and a seamless user experience.",5,0,1
Haven't used it that much.,3,0,0
"Not a durable device. The first time I used it, I pushed to make sure it was seated properly. The contact receded into the housing. I was able to get it back out and it works but I would be hesitant to purchase his brand again.",3,0,0
its ok,3,0,0
"Everyone knows that Velvet Revolver is the super group made up of Slash, Duff McKagan & Matt Sorum from Guns 'N' Roses and lead vocalist Scott Weiland from Stone Temple Pilots with guitarist Dave Kushner throw into the mix. The group's past lives and troubles are well documented, but how does the album sound? The answer is pretty good. Slash provides some superb guitar work and hits you right over the head on the album's opening track ""Sucker Train Blues"" which also features some wicked bass work by Mr. McKagan. The band reaches into their roots, but pumps new life into the veins of songs like the bass heavy ""Big Machine"" and the propulsive ""Slither"". ""Superhuman"" is a rant about illegal substances which stares head-on at Mr. Weiland's checkered past. The album trips up when they get into power ballad territory on tracks like ""Fall To Pieces"" & ""Loving The Alien"". The group seems confined by the tracks. Velvet Revolver is at their best when they go all out and blast supercharged, chunky riffs that on the brink of being out of control.",3,1,0
"I owned this for a few weeks and found that it was a bit uncomfortable when wearing for more than a few minutes. Also, when using in the car, the person on the other end had a very hard time hearing me due to all the background noise (even with the windows closed and radio off, of course). I do, however, like the little battery charger and clip that comes with it -- it made it easier to carry around (ie. you could clip it to your briefcase, belt, or phone holder). I sold it at auction and bought the 510, and it seems a bit more comfortable, and also produces less background noise in the car. however its a bit bulkier.",2,1,0
"Dave's Gourmet ghost pepper hot sauce delivers excellent value, packing a serious ghost pepper punch that, while initially milder than anticipated, grows in heat after a good shake. The flavor is undeniably strong, sometimes overpowering the food itself, so use it sparingly. Overall, if you're looking for a potent and economical ghost pepper sauce, Dave's Gourmet is a solid choice, just be sure to shake well before each use to ensure consistent heat distribution.",5,1,1
"This placemat boasts adorable graphics and a generous size, making it visually appealing for kids and practical for catching spills. However, like many others have noted, its slippery surface poses a significant problem. Despite its cute design, the placemat slides around easily on most surfaces, rendering it less effective at staying put during mealtimes and potentially causing more mess than it prevents.",3,0,1
good,2,1,0
"The Earthway Precision Garden Seeder is a back-saver for large-scale gardeners. After struggling with the back-breaking work of hand-planting, this seeder significantly sped up the process, mimicking the efficiency of tractor planting. The included six seed plates, along with the purchase of additional plates, allows for planting a wide variety of seeds with consistent depth and spacing, making it a worthwhile investment for anyone looking to improve their planting efficiency and reduce strain.",3,0,1
"While the dice included in this set are perfectly serviceable, the overall value is questionable. The included adventure and other components fall flat, making the purchase feel unnecessary. You're better off investing in the core rulebook (which is essential anyway) and a separate set of dice, then crafting your own adventure for a far more rewarding experience.",1,1,1
Not easy to follow. Not enough patterns and not very interesting to put together. I was expecting something better and more exciting.,2,0,0
"This bonsai arrived in poor health and quickly deteriorated. While some initial leaf drop after unpacking is expected, excessive browning and complete defoliation within a week suggests a fundamental problem with the plant's health. Having successfully cared for bonsai previously, I'm confident the issue wasn't due to improper care, but rather a pre-existing condition making this a disappointing and ultimately sad purchase.",1,0,1
"This William Morris notebook, while beautifully designed and true to the artist's aesthetic, is surprisingly small. While fans of Morris's work will appreciate the pattern, the size may disappoint those expecting a more substantial notebook for extensive writing or sketching. I'm hesitant to repurchase due to its diminutive stature.",3,0,1
"This dryer vent cleaning kit does the job and offers significant savings over professional services, especially considering the reasonable price. The kit's contents are well-chosen and, provided you have a shop vac (investment required if you don't), it quickly pays for itself. However, the durability is questionable; mine broke during use, hence the 3-star rating.",3,1,1
"I paid way too much to find out that the motor makes a lot of noise when cleaning the box. My cat was scared of it even though the timing was set to delay the cleaning. The box takes up a lot of room and has to be plugged in so placement is limited. I also did not like that the soiled litter would stick to the bottom, break into small pieces that the comb would not catch, and often missed the receptacle. I ended up having to clean it out manually to fix the mess left behind. I would rather just scoop it the first time myself and save the hassle....and money. I gave mine to a friend and she eventually had the same complaints about the cleanliness. Her cats used it just fine without fear.",2,0,0
I've tried using this product twice now and I had trouble getting the release paper off and made a big mess. The small size like this apparently came with the wrong instructions but the instructions with this larger size wasn't a whole lot better. I had no luck with it maybe it's my iron but I'm giving up trying maybe you will have better luck then me.,1,0,0
"Netrunner, a complex and asymmetrical card game, now holds the coveted title of my all-time favorite, a position earned after overcoming an initially disappointing first impression. While initially daunting and requiring a committed investment to understand its intricacies, Netrunner's depth, strategic possibilities, and the constant evolution of the meta-game have captivated me in a way few other board games have.",5,0,1
"While the lack of batteries and durable plastic construction are definite pluses, this toy ball ultimately falls short for its intended audience. Despite its robust design, the loud and unusual noise it produces terrified multiple large breed dogs, rendering it unusable as a dog toy. Considering the consistent negative reaction across several different dogs, this item might be better suited as a toy for human infants, where the sound might be more stimulating than frightening.",1,1,1
GQ? P-U!,1,0,0
"Tickle My France-y is the perfect neutral polish for winter, offering a sophisticated browned pink that complements a variety of skin tones and wardrobes. Its professional yet feminine hue makes it versatile for any occasion, and when topped with Poshe, it delivers impressive longevity, easily lasting a week chip-free.",5,1,1
"Avoid Flexogen hoses at all costs. This is the worst hose I've ever used, prone to kinking at the slightest provocation. Even in ideal weather conditions, it's an exercise in frustration. Save yourself the headache (and the colorful language) and choose a different brand.",1,1,1
Purchased for my granddaughter in June 2011. Frame cracked after about 10 uses. I would expect a product like this to last until she out grows them.,1,0,0
"i would recommend this kit because it has everything to clean all my calibers, is portable and encased",4,1,0
"I Love the idea of this but didn't like the story. We will do the elf with our own version of the story without the naughty or nice aspect. I am not comfortable telling my child that santa will not come if he is ""naughty"". We will encourage striving for the ""nice"" behavior without threats. Is there really any parent out there who would actaully follow through with withholding presents in the case of undesirable behavior? I really hope not so why make the threat. Think intrinsic motivation not extrinsic...",2,0,0
"This dryer vent cleaning kit ultimately gets the job done, saving money compared to professional services in the long run, especially if you already own or plan to purchase a shop vacuum. The included tools are comprehensive and the price point is attractive. However, durability is a concern, as the brush broke during use, impacting the overall value and ease of cleaning.",3,1,1
"While this SanDisk microSD card initially seemed promising after formatting in my Samsung S4, its reliability quickly plummeted. After just two days, the card began spontaneously unmounting during read/write operations, ultimately rendering it unusable. Online forums suggest this isn't an isolated incident, and neither SanDisk nor Samsung seems willing to acknowledge the problem. I can't vouch for its performance in other devices, but its incompatibility with the S4 makes it a risky purchase for anyone using that phone. I'm likely returning this to Amazon in hopes of finding a more reliable storage solution.",1,0,1
"These replacement wheels are a frustrating downgrade. While they may fit an older Razor scooter, the installation was a struggle compared to previous aftermarket wheels. The internal spacer frequently obstructed the axle, making the process unnecessarily difficult. It feels like a cost-cutting measure that severely impacts the user experience. I wouldn't recommend these unless you're prepared for a fight.",2,0,1
"This latest version is a significant update, brimming with changes and additions that breathe new life into the product. While the sheer volume of alterations might feel overwhelming initially, the improvements are undeniable, adding substantial value and enhancing the overall user experience. It's a worthwhile upgrade, even if it requires a bit of a learning curve to fully grasp all the new features.",1,1,1
"Just like the last pair, rubber handles slip off metal when using them. Makes it hard to hang onto. Will buy a different brand next time.",2,0,0
I love the aroma of lavender and was sure this was going to have a stronger lavender scent. It did have a faint hint of lavender scent. That was a disappointment. The scent lasts all of a hot second once it leaves the bottle. I discovered that if you pour 2-3 capfuls in your laundry and pour a capful on a washcloth in your bathroom you get the benefit of the lavendar aroma.,4,0,0
"These shoes are comfortable to wear for those with standard width feet but ultimately disappointing. The high price point doesn't justify the average performance, and I discovered similar options for less. Furthermore, if you require a wider fit, look elsewhere, as these are definitely not accommodating. I cannot recommend them considering the cost and fit limitations.",3,0,1
"I bought this case for a tungsten E2. When I hold the case upside down, my Palm slides out. Otherwise, the case is very nice. It has 3 slots for credit cards, 2 slots for memory cards, and a holder for your stylus. You can sync, recharge, or attach headphones without removing the case.",2,1,0
"This Austin Powers costume kit is a major disappointment. The wig is far too dark and excessively wavy, failing to capture the groovy spy's signature style. The included glasses are flimsy and poorly constructed, while the rubber teeth are completely unusable, refusing to fit or stay in place. The only saving grace is the medallion, which is the sole element of acceptable quality in this otherwise embarrassing ensemble.",1,0,1
"This product is undeniably bright, perhaps excessively so. Even on its lowest setting, it can be almost blinding in a very dark room; a dimmer setting would significantly improve usability. While the unit performs its intended function effectively, the overall size could be more compact and the build quality appears to be only average. Long-term reliability remains unknown after only a month of use.",4,1,1
"We have 24 foot of solid dryer vent pipe ending in 3 right-angles before going through the floor into the flexible dryer-vent hose coming from the dryer. I can't get behind the dryer without moving both the washer and dryer and they are HEAVY. So being lazy I decided to clean the vent from the outside of the house inward. I didn't use a vacuum cleaner or a blower or suction of any kind. I did tighten each section of tubing with pliers and taped them. I threaded all 24 foot of tubing with the brush on the end into the outside vent and then backed it out. I got a good amount of lint clods out. Then I turned on the dryer to blow everything out. I got no air coming out at all. My fear had come true, I had forced gobs of lint into the right-angles at the end of the run. I still didn't want to move that washer and dryer so I figured I'd try one other thing, use the clodbuster attachment. Now I'm really getting lazy so I tightened each tubing section by hand (no pliers) and didn't use tape. I pushed all 24 foot of tubing into the vent until I hit some resistance and then turned the tubing by hand (too lazy to hook the drill up). Then I pulled it all out and there wasn't any lint at all that came out. So now I'm resigned to having to move the washer and dryer, but before I do I figured I might as well turn the dryer on and see what happens. Lots of lint clods blew out and kept coming out for about 20 seconds. I've attached pictures of it. I'm really happy with this product and if it worked for me with all the shortcuts I took it will probably work great for you. As a point of reference we built this house five years ago and this is the first time I ever cleaned the vent. A load of ten bath towels used to take 45 minutes to dry, lately it's been taking 3 to 4 hours, so I knew I couldn't put cleaning the pipe off any longer.",5,0,0
"Streets and Trips 2006, while an early foray into mobile GPS for me, proved to be a surprisingly functional and worthwhile investment, especially considering the price point. Coming from the perspective of someone accustomed to higher-end, built-in systems, I was pleased with how easily the included GPS locator integrated with my laptop and the software, providing reliable navigation despite being a more budget-friendly solution.",2,1,1
"These treats are a mixed bag. While my dog happily gobbled them up and enjoyed the taste, the inconsistent sizing makes them unsuitable for stuffing into puzzle toys as intended. Unless you're just looking for a tasty addition to your dog's regular food, you might want to consider other options that offer more uniform pieces.",2,1,1
Pathetic reproduction of the Dickens classic. Interesting that the movie is particularly concerned with the problem of people who lose their possessions to money lenders--corporations not unlike the ones which own directly or indirectly the media which present us with the American version of the Christmas carol.,2,1,0
"Easy Media Creator is a powerful and user-friendly suite for video editing and DVD burning, but its short lifespan is a significant drawback. While the software offers excellent functionality, Roxio's lack of support and updates means that even relatively recent versions can quickly become obsolete due to compatibility issues with newer operating systems and software like Internet Explorer. This planned obsolescence makes it a questionable investment, as users can find themselves forced to upgrade to a newer version within a couple of years, negating the initial value.",4,0,1
"This product arrived quickly and in good condition, making it a great value for the price. I'm very satisfied with my purchase and would recommend it to others.",3,1,1
"Work great on COMPLETELY SMOOTH SURFACES. The wheels are very small radius, so any pebble or crack in concrete will stop this little helper if it has a significant load. I just replaced all the small casters with ones twice as big (had to drill out), and it works much better now. They won't do well on carpet with significant weight, say, at their capacity.",4,0,0
QUE COSA TAN MALAAAAA!!!,1,1,0
"Theres no denying that several children enjoy these Naria Tales and that some of them are ingenious - I like the idea of the wardrobe, in the first tale, through which a different time and space is entered, because it is imaginative and points to an awareness of different realities than that which our finite minds can perceive. That having been said, however, I always feel that Louis is trying too hard to preach a message and that his allegorising is too obvious both to the adult reader and to an intelligent child. There are other ways of broadening and enriching children's minds than to give them a slanted metaphor steeped in biblical imagery of lions and apocalyptic battles and all too obvious references to Christ. One day, I must talk to a child who has recently read one of these tales and see how s/he perceives it. I'm all for the 'Tell it slant' approach and I don't find this slanted enough.",2,0,0
"My evaluation is based on my experience with NIS 2002. The only reason I feel obligated to give it two stars is that, when it works, it works very well. (You can ban domains like Doubleclick from accessing your computer at all, and it also blocks ads and intercepts hacking attempts.) However, Symantec's customer support may as well be nonexistent. Its customer and technical support people were recalcitrant and nonresponsive when a Live Update caused a serious problem for me in 2004, and a friend's experience in 2005 shows that the company has changed neither its attitude toward its customers nor its practices. When I replace my computer, I will look for an alternative to anything made by Symantec because I have no respect whatsoever for this company-- an attitude shaped entirely by the company's total lack of respect for the customers who pay for its existence. UPDATE February 24 2006 At this point I wish I had given NIS a one-star rating. Upon attempting to renew my virus definition subscription, I got the following message: "" We're sorry, a subscription renewal is not available for this product. If you currently use Windows XP/2000, please select from the above recommended replacement upgrades."" Upon wading through several Web pages to get technical support, I got the following: ""The versions of Norton Internet Security listed on this page have been discontinued. Therefore, telephone and online support are no longer available."" It seems to me that Symantec has a nice little racket for digging into its customers' pockets: sell them a product and then stop supporting it so they have to buy an upgrade. The best way to deal with this is simply to not buy anything from them whatsoever. Symantec is permanently disqualified from selling me any new software whatsoever (because of the issues described above and also reviews that say the newer versions cause trouble for many people) and this is my recommendation to all prospective and existing customers.",2,0,0
"This book, a treasure trove of life wisdom published in 1997, remains a worthwhile read even today. While those further along life's journey may find much of its advice familiar through lived experience, the gentle reminders and easy-to-digest format make it a valuable refresher and a comforting affirmation of the wisdom we've already gained.",4,1,1
"These Birkenstocks were a major disappointment. As a loyal Birkenstock wearer since 1992, I was shocked by the poor quality and uncomfortable design. The removable footbed felt cheap and wouldn't stay in place, making them unpleasant to wear. They were so far removed from the Birkenstock standard I've come to expect that I immediately returned them, a decision my husband applauded, deeming them ""ugly."" It's a shame because I generally love the brand, but these were a serious miss.",1,0,1
"Bruce Springsteen's ""Born in the U.S.A."" is a worthwhile listen, though it suffers from some mid-album lull. Despite a slight dip in engagement, the overall quality remains solid, making it a recommended experience, especially for fans of Springsteen or those who enjoy accessible rock. The album's highlight, the iconic title track, is undeniably catchy and a true classic rock staple.",4,1,1
"This garment was a complete disappointment. The fit was extremely skimpy and the length was far too short, making it unwearable. I ended up returning it due to the poor sizing and unflattering fit.",1,0,1
"This product is a winner for stocking stuffers. It's a clever and compact gift idea, perfect for adding a small spark of joy to the holiday season. While its standalone impact might be limited, its affordability and stocking stuffer suitability make it a worthwhile purchase.",5,0,1
"These shoes started out great, but quickly disappointed. I loved the initial look and feel, but after only an hour of indoor wear on smooth floors, the green inserts on the sole of the right shoe began detaching. This suggests a serious defect in the shoe's construction, making them unreliable and ultimately not worth purchasing.",1,0,1
"This adorable, plush dragon is sure to delight anyone who loves cuddly toys and fantastical creatures. Soft, huggable, and boasting charmingly stitched details, it's the perfect companion for kids and collectors alike. Just be warned: actual dragons might find the resemblance a touch insulting. Recommended, unless you're dealing with a fire-breathing, scale-covered critic.",5,0,1
Order a size smaller. My 7.5 (5.5 Men's) fit more like an 8. They look like clown shoes on me. Very disappointed.,3,0,0
"While undeniably cute, this product unfortunately didn't hold up to my puppies' energy. It was shredded rather quickly, so I wouldn't recommend it for households with active chewers or dogs prone to destruction.",5,0,1
"The product color is drastically different from what's advertised. Instead of the expected shade, I received an item that was distinctly dark pink/purple. This misrepresentation makes the product unusable for my intended purpose and is incredibly disappointing.",2,0,1
"This phone occupies a solid middle ground, excelling as an above-average device despite its shortcomings. While the slide mechanism lacks smoothness and its triband functionality severely limits international use, its standout feature is the generous 1GB of standard memory, a class-leading capacity at its release. Paired with easy-to-use music and camera functions, this phone offers a decent experience overall, though its limitations prevent it from being truly exceptional.",4,0,1
